time,reference_temp
11:21,12
11:22,12.5
11:23,12.5
11:24,13
11:25,13
11:26,13
11:27,13.5
11:28,14
11:29,14
11:30,14
11:31,14
11:32,14.5
11:33,14.5
11:34,15
11:35,15
11:36,15
11:37,15
11:38,15
11:39,15
11:40,15
11:41,15
11:42,15
11:43,15.5
11:44,16
11:45,16
11:46,16.5
11:47,17
11:48,17
11:49,17.5
11:50,18
11:51,18
11:52,18.5
11:53,18.5
11:54,19
11:55,19
11:56,19.5
11:57,20
11:58,20
11:59,20
12:00,20.5
12:01,21
12:02,21
12:03,21.5
12:04,22
12:05,22
12:06,22.5
12:07,23
12:08,23.5
12:09,23.5
12:10,24
12:11,24
12:12,24.5
12:13,24.5
12:14,25
12:15,25
12:16,25.5
12:17,25.5
12:18,26
12:19,26
12:20,26.5
12:21,26.5
12:22,27
12:23,27
12:24,27.5
12:25,27.5
12:26,28
12:27,28
12:28,28.5
12:29,29
12:30,29
12:31,29.5
12:32,30
12:33,30
12:34,30.5
12:35,30.5
12:36,31
12:37,31
12:38,31.5
12:39,31.5
12:40,32
12:41,32
12:42,32.5
12:43,32.5
12:44,33
12:45,33
12:46,33
12:47,33.5
12:48,33.5
12:49,33.5
12:50,34
12:51,34.5
12:52,34.5
12:53,35
12:54,35
12:55,35
12:56,35.5
12:57,35.5
12:58,36
12:59,36.5
13:00,37
13:01,37
13:02,37
13:03,37.5
13:04,38
13:05,38
13:06,38.5
13:07,38.5
13:08,39
13:09,39
13:10,39.5
13:11,40
13:12,40
13:13,40