Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,6/21/22,12:13:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.7,T4 KTemp C
2,6/21/22,12:14:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.7,T4 KTemp C
3,6/21/22,12:15:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.9,T3 KTemp C,0.8,T4 KTemp C
4,6/21/22,12:16:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.7,T4 KTemp C
5,6/21/22,12:17:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.7,T4 KTemp C
6,6/21/22,12:18:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
7,6/21/22,12:19:32,1.4,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
8,6/21/22,12:20:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.9,T4 KTemp C
9,6/21/22,12:21:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.9,T4 KTemp C
10,6/21/22,12:22:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
11,6/21/22,12:23:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.9,T3 KTemp C,1,T4 KTemp C
12,6/21/22,12:24:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
13,6/21/22,12:25:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.9,T4 KTemp C
14,6/21/22,12:26:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
15,6/21/22,12:27:32,1.3,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
16,6/21/22,12:28:32,1.3,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.9,T4 KTemp C
17,6/21/22,12:29:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
18,6/21/22,12:30:32,1.4,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
19,6/21/22,12:31:32,1.4,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
20,6/21/22,12:32:32,1.6,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
21,6/21/22,12:33:32,1.6,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,5.6,T4 KTemp C
22,6/21/22,12:34:32,2,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
23,6/21/22,12:35:32,4.3,T1 KTemp C,0.9,T2 KTemp C,0.9,T3 KTemp C,2.4,T4 KTemp C
24,6/21/22,12:36:32,7.6,T1 KTemp C,0.9,T2 KTemp C,1,T3 KTemp C,1.2,T4 KTemp C
25,6/21/22,12:37:32,7.7,T1 KTemp C,1,T2 KTemp C,1.2,T3 KTemp C,7.6,T4 KTemp C
26,6/21/22,12:38:32,1.3,T1 KTemp C,1,T2 KTemp C,3.6,T3 KTemp C,7.7,T4 KTemp C
27,6/21/22,12:39:32,1.2,T1 KTemp C,1,T2 KTemp C,4.2,T3 KTemp C,7.3,T4 KTemp C
28,6/21/22,12:40:32,1.6,T1 KTemp C,1.1,T2 KTemp C,3.2,T3 KTemp C,5.3,T4 KTemp C
29,6/21/22,12:41:32,8.2,T1 KTemp C,8.2,T2 KTemp C,6.9,T3 KTemp C,7.3,T4 KTemp C
30,6/21/22,12:42:32,7,T1 KTemp C,7.7,T2 KTemp C,7.1,T3 KTemp C,7.7,T4 KTemp C
31,6/21/22,12:43:32,4,T1 KTemp C,7.5,T2 KTemp C,9.2,T3 KTemp C,7.5,T4 KTemp C
32,6/21/22,12:44:32,9.1,T1 KTemp C,7.1,T2 KTemp C,8.3,T3 KTemp C,6.7,T4 KTemp C
33,6/21/22,12:45:32,9.2,T1 KTemp C,7.2,T2 KTemp C,7.7,T3 KTemp C,7.6,T4 KTemp C
34,6/21/22,12:46:32,9,T1 KTemp C,5.3,T2 KTemp C,5.5,T3 KTemp C,7.8,T4 KTemp C
35,6/21/22,12:47:32,9.4,T1 KTemp C,8,T2 KTemp C,8.1,T3 KTemp C,7.9,T4 KTemp C
36,6/21/22,12:48:32,9.4,T1 KTemp C,8.5,T2 KTemp C,8.8,T3 KTemp C,8.1,T4 KTemp C
37,6/21/22,12:49:32,9.8,T1 KTemp C,8,T2 KTemp C,8.5,T3 KTemp C,8,T4 KTemp C
38,6/21/22,12:50:32,9.9,T1 KTemp C,8.6,T2 KTemp C,8.5,T3 KTemp C,8.3,T4 KTemp C
39,6/21/22,12:51:32,9.5,T1 KTemp C,8.8,T2 KTemp C,9.5,T3 KTemp C,8.6,T4 KTemp C
40,6/21/22,12:52:32,9.1,T1 KTemp C,9,T2 KTemp C,8,T3 KTemp C,8.9,T4 KTemp C
41,6/21/22,12:53:32,9.7,T1 KTemp C,3.2,T2 KTemp C,10.1,T3 KTemp C,9.9,T4 KTemp C
42,6/21/22,12:54:32,9.7,T1 KTemp C,1.3,T2 KTemp C,10,T3 KTemp C,9.8,T4 KTemp C
43,6/21/22,12:55:32,9.9,T1 KTemp C,1.7,T2 KTemp C,9.9,T3 KTemp C,10.1,T4 KTemp C
44,6/21/22,12:56:32,10.7,T1 KTemp C,10,T2 KTemp C,10.3,T3 KTemp C,10.1,T4 KTemp C
45,6/21/22,12:57:32,10.7,T1 KTemp C,10.9,T2 KTemp C,10.5,T3 KTemp C,10.5,T4 KTemp C
46,6/21/22,12:58:32,11.1,T1 KTemp C,11.3,T2 KTemp C,11.3,T3 KTemp C,11.2,T4 KTemp C
47,6/21/22,12:59:32,11.7,T1 KTemp C,11.7,T2 KTemp C,11.8,T3 KTemp C,11.4,T4 KTemp C
48,6/21/22,13:00:32,12.4,T1 KTemp C,12.3,T2 KTemp C,12,T3 KTemp C,12.2,T4 KTemp C
49,6/21/22,13:01:32,13.4,T1 KTemp C,13.1,T2 KTemp C,13.2,T3 KTemp C,13,T4 KTemp C
50,6/21/22,13:02:32,13.9,T1 KTemp C,14.1,T2 KTemp C,13.9,T3 KTemp C,13.6,T4 KTemp C
51,6/21/22,13:03:32,14.5,T1 KTemp C,14.2,T2 KTemp C,14.3,T3 KTemp C,14.4,T4 KTemp C
52,6/21/22,13:04:32,15.4,T1 KTemp C,14.9,T2 KTemp C,15.1,T3 KTemp C,14.8,T4 KTemp C
53,6/21/22,13:05:32,16,T1 KTemp C,15.8,T2 KTemp C,15.9,T3 KTemp C,15.7,T4 KTemp C
54,6/21/22,13:06:32,16.3,T1 KTemp C,16.5,T2 KTemp C,16.5,T3 KTemp C,16.4,T4 KTemp C
55,6/21/22,13:07:32,17.3,T1 KTemp C,17.3,T2 KTemp C,17.6,T3 KTemp C,17.1,T4 KTemp C
56,6/21/22,13:08:32,17.9,T1 KTemp C,18,T2 KTemp C,18.1,T3 KTemp C,17.8,T4 KTemp C
57,6/21/22,13:09:32,18.5,T1 KTemp C,18.5,T2 KTemp C,18.5,T3 KTemp C,18.4,T4 KTemp C
58,6/21/22,13:10:32,19,T1 KTemp C,19.1,T2 KTemp C,19.5,T3 KTemp C,19.1,T4 KTemp C
59,6/21/22,13:11:32,20.5,T1 KTemp C,19.6,T2 KTemp C,19.6,T3 KTemp C,19.9,T4 KTemp C
60,6/21/22,13:12:32,20.2,T1 KTemp C,20.3,T2 KTemp C,20.4,T3 KTemp C,20,T4 KTemp C
61,6/21/22,13:13:32,20.8,T1 KTemp C,20.8,T2 KTemp C,21,T3 KTemp C,20.9,T4 KTemp C
62,6/21/22,13:14:32,21.6,T1 KTemp C,21.3,T2 KTemp C,21.9,T3 KTemp C,21.5,T4 KTemp C
63,6/21/22,13:15:32,22.2,T1 KTemp C,22.4,T2 KTemp C,22.2,T3 KTemp C,22.1,T4 KTemp C
64,6/21/22,13:16:32,22.9,T1 KTemp C,22.6,T2 KTemp C,22.8,T3 KTemp C,22.7,T4 KTemp C
65,6/21/22,13:17:32,23.5,T1 KTemp C,23.5,T2 KTemp C,23.7,T3 KTemp C,23.5,T4 KTemp C
66,6/21/22,13:18:32,24,T1 KTemp C,23.7,T2 KTemp C,23.8,T3 KTemp C,23.9,T4 KTemp C
67,6/21/22,13:19:32,24.2,T1 KTemp C,24.3,T2 KTemp C,24.4,T3 KTemp C,24.4,T4 KTemp C
68,6/21/22,13:20:32,25.9,T1 KTemp C,25.1,T2 KTemp C,25.2,T3 KTemp C,25.1,T4 KTemp C
69,6/21/22,13:21:32,25.5,T1 KTemp C,25.5,T2 KTemp C,25.7,T3 KTemp C,25.6,T4 KTemp C
70,6/21/22,13:22:32,26.2,T1 KTemp C,26.2,T2 KTemp C,26.4,T3 KTemp C,26.4,T4 KTemp C
71,6/21/22,13:23:32,26.7,T1 KTemp C,26.6,T2 KTemp C,26.7,T3 KTemp C,26.8,T4 KTemp C
72,6/21/22,13:24:32,27.1,T1 KTemp C,27.1,T2 KTemp C,27.3,T3 KTemp C,27.2,T4 KTemp C
73,6/21/22,13:25:32,27.8,T1 KTemp C,27.8,T2 KTemp C,27.8,T3 KTemp C,28,T4 KTemp C
74,6/21/22,13:26:32,28.4,T1 KTemp C,28.2,T2 KTemp C,28.4,T3 KTemp C,28.4,T4 KTemp C
75,6/21/22,13:27:32,28.9,T1 KTemp C,29,T2 KTemp C,29.2,T3 KTemp C,29,T4 KTemp C
76,6/21/22,13:28:32,29.2,T1 KTemp C,29.4,T2 KTemp C,29.5,T3 KTemp C,29.5,T4 KTemp C
77,6/21/22,13:29:32,30,T1 KTemp C,30.2,T2 KTemp C,30.5,T3 KTemp C,30.1,T4 KTemp C
78,6/21/22,13:30:32,30.3,T1 KTemp C,30.5,T2 KTemp C,30.6,T3 KTemp C,30.8,T4 KTemp C
79,6/21/22,13:31:32,31,T1 KTemp C,31.1,T2 KTemp C,31.5,T3 KTemp C,31.3,T4 KTemp C
80,6/21/22,13:32:32,31.4,T1 KTemp C,31.6,T2 KTemp C,31.8,T3 KTemp C,31.8,T4 KTemp C
81,6/21/22,13:33:32,32,T1 KTemp C,32.3,T2 KTemp C,32.4,T3 KTemp C,32.3,T4 KTemp C
82,6/21/22,13:34:32,32.6,T1 KTemp C,32.6,T2 KTemp C,32.7,T3 KTemp C,32.7,T4 KTemp C
83,6/21/22,13:35:32,33,T1 KTemp C,33.1,T2 KTemp C,33.5,T3 KTemp C,33.1,T4 KTemp C
84,6/21/22,13:36:32,33.6,T1 KTemp C,33.4,T2 KTemp C,33.7,T3 KTemp C,33.7,T4 KTemp C
85,6/21/22,13:37:32,34.1,T1 KTemp C,34.1,T2 KTemp C,34.4,T3 KTemp C,34.3,T4 KTemp C
86,6/21/22,13:38:32,34.5,T1 KTemp C,34.7,T2 KTemp C,34.9,T3 KTemp C,34.8,T4 KTemp C
87,6/21/22,13:39:32,35.3,T1 KTemp C,35.3,T2 KTemp C,35.5,T3 KTemp C,35.4,T4 KTemp C
88,6/21/22,13:40:32,35.7,T1 KTemp C,35.7,T2 KTemp C,35.8,T3 KTemp C,35.8,T4 KTemp C
89,6/21/22,13:41:32,36.2,T1 KTemp C,36.3,T2 KTemp C,36.5,T3 KTemp C,36.5,T4 KTemp C
90,6/21/22,13:42:32,36.7,T1 KTemp C,36.6,T2 KTemp C,37.1,T3 KTemp C,36.8,T4 KTemp C
91,6/21/22,13:43:32,37.3,T1 KTemp C,37.2,T2 KTemp C,37.4,T3 KTemp C,37.5,T4 KTemp C
92,6/21/22,13:44:32,37.6,T1 KTemp C,38,T2 KTemp C,38.3,T3 KTemp C,38,T4 KTemp C
93,6/21/22,13:45:32,38,T1 KTemp C,38.3,T2 KTemp C,38.5,T3 KTemp C,38.4,T4 KTemp C
94,6/21/22,13:46:32,38.5,T1 KTemp C,39,T2 KTemp C,39,T3 KTemp C,39.2,T4 KTemp C
95,6/21/22,13:47:32,39.3,T1 KTemp C,39,T2 KTemp C,39.2,T3 KTemp C,39.3,T4 KTemp C
96,6/21/22,13:48:32,39.9,T1 KTemp C,40,T2 KTemp C,40.2,T3 KTemp C,39.9,T4 KTemp C
97,6/21/22,13:49:32,40.5,T1 KTemp C,40.3,T2 KTemp C,40.5,T3 KTemp C,40.5,T4 KTemp C
98,6/21/22,13:50:32,40.6,T1 KTemp C,40.9,T2 KTemp C,41.1,T3 KTemp C,40.9,T4 KTemp C
99,6/21/22,13:51:32,41.2,T1 KTemp C,41.4,T2 KTemp C,41.5,T3 KTemp C,41.8,T4 KTemp C
100,6/21/22,13:52:32,41.6,T1 KTemp C,41.9,T2 KTemp C,42.2,T3 KTemp C,41.9,T4 KTemp C
101,6/21/22,13:53:32,42.2,T1 KTemp C,42.6,T2 KTemp C,42.8,T3 KTemp C,42.8,T4 KTemp C
102,6/21/22,13:54:32,42.9,T1 KTemp C,42.7,T2 KTemp C,43,T3 KTemp C,42.9,T4 KTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
103,6/29/22,14:40:23,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
104,6/29/22,14:41:23,25.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
105,6/29/22,14:42:23,25.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
106,6/29/22,14:43:23,25.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
107,6/29/22,14:44:23,25.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
108,6/29/22,14:45:23,25.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
109,6/29/22,14:46:23,25.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
110,6/29/22,14:47:23,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
111,6/29/22,14:48:23,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
112,6/29/22,14:49:23,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
113,6/29/22,14:50:23,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
114,6/29/22,14:51:23,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
115,6/29/22,14:52:23,25.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
116,6/29/22,14:53:23,26,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
117,6/29/22,14:54:23,26.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
118,6/29/22,14:55:23,26.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
119,6/29/22,14:56:23,26.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
120,6/29/22,14:57:23,26.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
121,6/29/22,15:05:30,24.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
122,6/29/22,15:06:30,24.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
123,6/29/22,15:07:30,24.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
124,6/29/22,15:08:30,25,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
125,6/29/22,15:09:30,25,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
126,6/29/22,15:10:30,25,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
127,6/29/22,15:11:30,25,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
128,6/29/22,15:12:30,25.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
129,6/29/22,15:13:30,25.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
130,6/29/22,15:14:30,25.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
131,6/29/22,15:15:30,25.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
132,6/29/22,15:16:30,25.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
133,6/29/22,15:17:30,25.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
134,6/29/22,15:18:30,25.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
135,6/29/22,15:19:30,25.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
136,6/29/22,15:20:30,25.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
137,6/29/22,15:21:30,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
138,6/29/22,15:22:30,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
139,6/29/22,15:37:52,19.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
140,6/29/22,15:38:52,19,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
141,6/29/22,15:39:52,20.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
142,6/29/22,15:40:52,21.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
143,6/29/22,15:41:52,22.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
144,6/29/22,15:42:52,24,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
145,6/29/22,15:43:52,25.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
146,6/29/22,15:44:52,26.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
147,6/29/22,15:45:52,27.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
148,6/29/22,15:46:52,28.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
149,6/29/22,15:47:52,29.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
150,6/29/22,15:48:52,30.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
151,6/29/22,15:49:52,31.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
152,6/29/22,15:50:52,32.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
153,6/29/22,15:51:52,32.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
154,6/29/22,15:52:52,33.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
155,6/29/22,15:53:52,34.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
156,6/29/22,15:54:52,34.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
157,6/29/22,15:55:52,35,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
158,6/29/22,15:56:52,35.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
159,6/29/22,15:57:52,36,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
160,6/29/22,15:58:52,36.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
161,6/29/22,15:59:52,36.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
162,6/29/22,16:12:39,31.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
163,6/29/22,16:13:39,33.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
164,6/29/22,16:14:39,34.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
165,6/29/22,16:15:39,34.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
166,6/29/22,16:16:39,33,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
167,6/29/22,16:17:39,29.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
168,6/29/22,16:18:39,26.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
169,6/29/22,16:19:39,24,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
170,6/29/22,16:20:39,21.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
171,6/29/22,16:21:39,19.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
172,6/29/22,16:22:39,18.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
173,6/29/22,16:23:39,16.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
174,6/29/22,16:24:39,15.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
175,6/29/22,16:25:39,14.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
176,6/29/22,16:26:39,13.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
177,6/29/22,16:27:39,13,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
178,6/29/22,16:28:39,12.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
179,6/29/22,16:29:39,12,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
180,6/29/22,16:30:39,11.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
181,6/29/22,16:31:39,11.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
182,6/29/22,16:38:53,34.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
183,6/29/22,16:39:53,33,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
184,6/29/22,16:40:53,30.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
185,6/29/22,16:41:53,27.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
186,6/29/22,16:42:53,25.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
187,6/29/22,16:43:53,23.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
188,6/29/22,16:44:53,22.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
189,6/29/22,16:45:53,20.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
190,6/29/22,16:46:53,19.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
191,6/29/22,16:47:53,18.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
192,6/29/22,16:48:53,18.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
193,6/29/22,16:49:53,17.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
194,6/29/22,16:50:53,16.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
195,6/29/22,16:51:53,16.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
196,6/29/22,16:52:53,15.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
197,6/29/22,16:53:53,14.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
198,6/29/22,16:54:53,14,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
199,6/29/22,17:16:13,33,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C