time,ref_temp_C
12:22,0
12:23,0
12:24,0
12:25,0
12:26,0
12:27,0
12:28,0
12:29,2
12:30,3
12:31,4
12:32,4
12:33,5
12:34,5
12:35,5
12:36,5
12:37,5.5
12:38,5
12:39,5
12:40,5
12:41,5
12:42,5
12:43,5
12:44,5.5
12:45,5.5
12:46,6
12:47,6
12:48,6
12:49,6.5
12:50,6.5
12:51,7
12:52,7
12:53,7
12:54,7.5
12:55,7.5
12:56,8
12:57,8
12:58,9
12:59,9.5
13:00,10
13:01,10
13:02,11
13:03,12
13:04,13
13:05,13.5
13:06,14
13:07,15
13:08,15.5
13:09,16
13:10,17
13:11,17.5
13:12,18
13:13,19
13:14,19.5
13:15,20
13:16,20.5
13:17,21
13:18,22
13:19,22.5
13:20,23
13:21,23.5
13:22,24
13:23,25
13:24,25.5
13:25,26
13:26,26.5
13:27,27
13:28,27.5
13:29,28
13:30,28.5
13:31,29.5
13:32,30
13:33,30.5
13:34,31
13:35,31.5
13:36,32
13:37,32.5
13:38,33
13:39,33.5
13:40,34
13:41,35
13:42,35
13:43,36
13:44,36
13:45,37
13:46,37
13:47,38
13:48,38.5
13:49,39
13:50,39.5
13:51,40
13:52,40.5
13:53,41
13:54,41.5